Source,Target
CWE-668,CVE-2022-29471
CWE-668,CVE-2022-29467
CWE-668,CVE-2022-29247
CWE-668,CVE-2022-29123
CWE-668,CVE-2022-29122
CWE-668,CVE-2022-29120
CWE-668,CVE-2022-29112
CWE-668,CVE-2022-29102
CWE-668,CVE-2022-28991
CWE-668,CVE-2022-28924
CWE-668,CVE-2022-28794
CWE-668,CVE-2022-28713
CWE-668,CVE-2022-28376
CWE-668,CVE-2022-28365
CWE-668,CVE-2022-28160
CWE-668,CVE-2022-2792
CWE-668,CVE-2022-27919
CWE-668,CVE-2022-27822
CWE-668,CVE-2022-27818
CWE-668,CVE-2022-27817
CWE-668,CVE-2022-27814
CWE-668,CVE-2022-27779
CWE-668,CVE-2022-27772
CWE-668,CVE-2022-27576
CWE-668,CVE-2022-27575
CWE-668,CVE-2022-27332
CWE-668,CVE-2022-27331
CWE-668,CVE-2022-27257
CWE-668,CVE-2022-26940
CWE-668,CVE-2022-26936
CWE-668,CVE-2022-26935
CWE-668,CVE-2022-26933
CWE-668,CVE-2022-26869
CWE-668,CVE-2022-26816
CWE-668,CVE-2022-26777
CWE-668,CVE-2022-26653
CWE-668,CVE-2022-26355
CWE-668,CVE-2022-26330
CWE-668,CVE-2022-26317
CWE-668,CVE-2022-26267
CWE-668,CVE-2022-26159
CWE-668,CVE-2022-2610
CWE-668,CVE-2022-26090
CWE-668,CVE-2022-25986
CWE-668,CVE-2022-25755
CWE-668,CVE-2022-25650
CWE-668,CVE-2022-25481
CWE-668,CVE-2022-25375
CWE-668,CVE-2022-25357
CWE-668,CVE-2022-25336
CWE-668,CVE-2022-25318
CWE-668,CVE-2022-25236
CWE-668,CVE-2022-25041
CWE-668,CVE-2022-25010
CWE-668,CVE-2022-24975
CWE-668,CVE-2022-24897
CWE-668,CVE-2022-24823
CWE-668,CVE-2022-2479
CWE-668,CVE-2022-24522
CWE-668,CVE-2022-24503
CWE-668,CVE-2022-24446
CWE-668,CVE-2022-24411
CWE-668,CVE-2022-24336
CWE-668,CVE-2022-24309
CWE-668,CVE-2022-24139
CWE-668,CVE-2022-2408
CWE-668,CVE-2022-24032
CWE-668,CVE-2022-2403
CWE-668,CVE-2022-23856
CWE-668,CVE-2022-23835
CWE-668,CVE-2022-23825
CWE-668,CVE-2022-2370
CWE-668,CVE-2022-23690
CWE-668,CVE-2022-23563
CWE-668,CVE-2022-23345
CWE-668,CVE-2022-23331
CWE-668,CVE-2022-23317
CWE-668,CVE-2022-23254
CWE-668,CVE-2022-23252
CWE-668,CVE-2022-23163
CWE-668,CVE-2022-22961
CWE-668,CVE-2022-22783
CWE-668,CVE-2022-22716
CWE-668,CVE-2022-22711
CWE-668,CVE-2022-22662
CWE-668,CVE-2022-22652
CWE-668,CVE-2022-22622
CWE-668,CVE-2022-22598
CWE-668,CVE-2022-22583
CWE-668,CVE-2022-22579
CWE-668,CVE-2022-22515
CWE-668,CVE-2022-22494
CWE-668,CVE-2022-0005
CWE-668,CVE-2022-0117
CWE-668,CVE-2022-0315
CWE-668,CVE-2022-0334
CWE-668,CVE-2022-0461
CWE-668,CVE-2022-0736
CWE-668,CVE-2022-0762
CWE-668,CVE-2022-0806
CWE-668,CVE-2022-0815
CWE-668,CVE-2022-0852
CWE-668,CVE-2022-1111
CWE-668,CVE-2022-1128
CWE-668,CVE-2022-1137
CWE-668,CVE-2022-1138
CWE-668,CVE-2022-1139
CWE-668,CVE-2022-1146
CWE-668,CVE-2022-1385
CWE-668,CVE-2022-1413
CWE-668,CVE-2022-1467
CWE-668,CVE-2022-1488
CWE-668,CVE-2022-1498
CWE-668,CVE-2022-1501
CWE-668,CVE-2022-1637
CWE-668,CVE-2022-1873
CWE-668,CVE-2022-1875
CWE-668,CVE-2022-1902
CWE-668,CVE-2022-1983
CWE-668,CVE-2022-20270
CWE-668,CVE-2022-20620
CWE-668,CVE-2022-20696
CWE-668,CVE-2022-2160
CWE-668,CVE-2022-21718
CWE-668,CVE-2022-21817
CWE-668,CVE-2022-21845
CWE-668,CVE-2022-21880
CWE-668,CVE-2022-21904
CWE-668,CVE-2022-21915
CWE-668,CVE-2022-21964
CWE-668,CVE-2022-21985
CWE-668,CVE-2022-21993
CWE-668,CVE-2022-21998
CWE-668,CVE-2022-22011
CWE-668,CVE-2022-22015
CWE-668,CVE-2022-22028
CWE-668,CVE-2022-22042
CWE-668,CVE-2022-22154
CWE-668,CVE-2022-22314
CWE-668,CVE-2022-22331
CWE-668,CVE-2022-22334
CWE-668,CVE-2022-22414
CWE-436,CVE-2020-9399
CWE-436,CVE-2020-9363
CWE-436,CVE-2020-9362
CWE-436,CVE-2020-9342
CWE-436,CVE-2020-9264
CWE-436,CVE-2020-3564
CWE-436,CVE-2020-3200
CWE-436,CVE-2020-10193
CWE-436,CVE-2020-10180
CWE-436,CVE-2020-10134
CWE-436,CVE-2021-41437
CWE-436,CVE-2021-40870
CWE-436,CVE-2021-39137
CWE-436,CVE-2021-34699
CWE-436,CVE-2021-28474
CWE-436,CVE-2021-21366
CWE-436,CVE-2021-1587
CWE-436,CVE-2021-0207
CWE-436,CVE-2022-36048
CWE-436,CVE-2022-34009
CWE-436,CVE-2022-29254
CWE-436,CVE-2022-25219
CWE-436,CVE-2022-0011
CWE-59,CVE-2021-21117
CWE-59,CVE-2020-9901
CWE-59,CVE-2020-9900
CWE-59,CVE-2020-9682
CWE-59,CVE-2020-9670
CWE-59,CVE-2020-9452
CWE-59,CVE-2020-8950
CWE-59,CVE-2020-8948
CWE-59,CVE-2020-8831
CWE-59,CVE-2020-8585
CWE-59,CVE-2020-8103
CWE-59,CVE-2020-8099
CWE-59,CVE-2020-8015
CWE-59,CVE-2020-8013
CWE-59,CVE-2020-7653
CWE-59,CVE-2020-7346
CWE-59,CVE-2020-7325
CWE-59,CVE-2020-7319
CWE-59,CVE-2020-7282
CWE-59,CVE-2020-7250
CWE-59,CVE-2020-7221
CWE-59,CVE-2020-7040
CWE-59,CVE-2020-6546
CWE-59,CVE-2020-6477
CWE-59,CVE-2020-6012
CWE-59,CVE-2020-5837
CWE-59,CVE-2020-5797
CWE-59,CVE-2020-5795
CWE-59,CVE-2020-5738
CWE-59,CVE-2020-5324
CWE-59,CVE-2020-4966
CWE-59,CVE-2020-4885
CWE-59,CVE-2020-4717
CWE-59,CVE-2020-3835
CWE-59,CVE-2020-3830
CWE-59,CVE-2020-36314
CWE-59,CVE-2020-36241
CWE-59,CVE-2020-36193
CWE-59,CVE-2020-35766
CWE-59,CVE-2020-3437
CWE-59,CVE-2020-3237
CWE-59,CVE-2020-3223
CWE-59,CVE-2020-29529
CWE-59,CVE-2020-28935
CWE-59,CVE-2020-28641
CWE-59,CVE-2020-28007
CWE-59,CVE-2020-27697
CWE-59,CVE-2020-27643
CWE-59,CVE-2020-27172
CWE-59,CVE-2020-26277
CWE-59,CVE-2020-25989
CWE-59,CVE-2020-25776
CWE-59,CVE-2020-25744
CWE-59,CVE-2020-25289
CWE-59,CVE-2020-25031
CWE-59,CVE-2020-24955
CWE-59,CVE-2020-24654
CWE-59,CVE-2020-24562
CWE-59,CVE-2020-24559
CWE-59,CVE-2020-24556
CWE-59,CVE-2020-24332
CWE-59,CVE-2020-23968
CWE-59,CVE-2020-2026
CWE-59,CVE-2020-2024
CWE-59,CVE-2020-1885
CWE-59,CVE-2020-17365
CWE-59,CVE-2020-16939
CWE-59,CVE-2020-16853
CWE-59,CVE-2020-16851
CWE-59,CVE-2020-16007
CWE-59,CVE-2020-15932
CWE-59,CVE-2020-15861
CWE-59,CVE-2020-15401
CWE-59,CVE-2020-15076
CWE-59,CVE-2020-15075
CWE-59,CVE-2020-14990
CWE-59,CVE-2020-14367
CWE-59,CVE-2020-14004
CWE-59,CVE-2020-13833
CWE-59,CVE-2020-13095
CWE-59,CVE-2020-12878
CWE-59,CVE-2020-12265
CWE-59,CVE-2020-12254
CWE-59,CVE-2020-11736
CWE-59,CVE-2020-11474
CWE-59,CVE-2020-11446
CWE-59,CVE-2020-11443
CWE-59,CVE-2020-10947
CWE-59,CVE-2020-10665
CWE-59,CVE-2020-10174
CWE-59,CVE-2020-10003
CWE-59,CVE-2020-0789
CWE-59,CVE-2020-0787
CWE-59,CVE-2020-0779
CWE-59,CVE-2020-0730
CWE-59,CVE-2020-0616
CWE-59,CVE-2021-45442
CWE-59,CVE-2021-45231
CWE-59,CVE-2021-44730
CWE-59,CVE-2021-44141
CWE-59,CVE-2021-44052
CWE-59,CVE-2021-44038
CWE-59,CVE-2021-44024
CWE-59,CVE-2021-44023
CWE-59,CVE-2021-43238
CWE-59,CVE-2021-43237
CWE-59,CVE-2021-42297
CWE-59,CVE-2021-42056
CWE-59,CVE-2021-41641
CWE-59,CVE-2021-41551
CWE-59,CVE-2021-41072
CWE-59,CVE-2021-41057
CWE-59,CVE-2021-38570
CWE-59,CVE-2021-38511
CWE-59,CVE-2021-37969
CWE-59,CVE-2021-37712
CWE-59,CVE-2021-37701
CWE-59,CVE-2021-36983
CWE-59,CVE-2021-36928
CWE-59,CVE-2021-36744
CWE-59,CVE-2021-3641
CWE-59,CVE-2021-35939
CWE-59,CVE-2021-35938
CWE-59,CVE-2021-35937
CWE-59,CVE-2021-34408
CWE-59,CVE-2021-3310
CWE-59,CVE-2021-32825
CWE-59,CVE-2021-32803
CWE-59,CVE-2021-32610
CWE-59,CVE-2021-32557
CWE-59,CVE-2021-32555
CWE-59,CVE-2021-32554
CWE-59,CVE-2021-32553
CWE-59,CVE-2021-32552
CWE-59,CVE-2021-32551
CWE-59,CVE-2021-32550
CWE-59,CVE-2021-32549
CWE-59,CVE-2021-32548
CWE-59,CVE-2021-32547
CWE-59,CVE-2021-32518
CWE-59,CVE-2021-32509
CWE-59,CVE-2021-32508
CWE-59,CVE-2021-32000
CWE-59,CVE-2021-31997
CWE-59,CVE-2021-31566
CWE-59,CVE-2021-31187
CWE-59,CVE-2021-30968
CWE-59,CVE-2021-30855
CWE-59,CVE-2021-30463
CWE-59,CVE-2021-28650
CWE-59,CVE-2021-28321
CWE-59,CVE-2021-28163
CWE-59,CVE-2021-28153
CWE-59,CVE-2021-28098
CWE-59,CVE-2021-27851
CWE-59,CVE-2021-27241
CWE-59,CVE-2021-27229
CWE-59,CVE-2021-27117
CWE-59,CVE-2021-27116
CWE-59,CVE-2021-26889
CWE-59,CVE-2021-26887
CWE-59,CVE-2021-26873
CWE-59,CVE-2021-26866
CWE-59,CVE-2021-26862
CWE-59,CVE-2021-26720
CWE-59,CVE-2021-26426
CWE-59,CVE-2021-26425
CWE-59,CVE-2021-26089
CWE-59,CVE-2021-25261
CWE-59,CVE-2021-24084
CWE-59,CVE-2021-23873
CWE-59,CVE-2021-23872
CWE-59,CVE-2021-23772
CWE-59,CVE-2021-23521
CWE-59,CVE-2021-23240
CWE-59,CVE-2021-23239
CWE-59,CVE-2021-23177
CWE-59,CVE-2021-22488
CWE-59,CVE-2021-21740
CWE-59,CVE-2021-21686
CWE-59,CVE-2021-21602
CWE-59,CVE-2021-21300
CWE-59,CVE-2021-21131
CWE-59,CVE-2021-21125
CWE-59,CVE-2022-0012
CWE-59,CVE-2022-0017
CWE-59,CVE-2022-0029
CWE-59,CVE-2022-20050
CWE-59,CVE-2022-20068
CWE-59,CVE-2022-20085
CWE-59,CVE-2022-20103
CWE-59,CVE-2022-2145
CWE-59,CVE-2022-21770
CWE-59,CVE-2022-21838
CWE-59,CVE-2022-21944
CWE-59,CVE-2022-22262
CWE-59,CVE-2022-22585
CWE-59,CVE-2022-22962
CWE-59,CVE-2022-22995
CWE-59,CVE-2022-23742
CWE-59,CVE-2022-24372
CWE-59,CVE-2022-24671
CWE-59,CVE-2022-24679
CWE-59,CVE-2022-24680
CWE-59,CVE-2022-24904
CWE-59,CVE-2022-25176
CWE-59,CVE-2022-25177
CWE-59,CVE-2022-25179
CWE-59,CVE-2022-26456
CWE-59,CVE-2022-26659
CWE-59,CVE-2022-26688
CWE-59,CVE-2022-26704
CWE-59,CVE-2022-27816
CWE-59,CVE-2022-27883
CWE-59,CVE-2022-28225
CWE-59,CVE-2022-2897
CWE-59,CVE-2022-2898
CWE-59,CVE-2022-30523
CWE-59,CVE-2022-30687
CWE-59,CVE-2022-31036
CWE-59,CVE-2022-31250
CWE-59,CVE-2022-31258
CWE-59,CVE-2022-32450
CWE-59,CVE-2022-34960
CWE-59,CVE-2022-35631
CWE-59,CVE-2022-36336
CWE-59,CVE-2021-0094
CWE-59,CVE-2021-1091
CWE-59,CVE-2021-1092
CWE-59,CVE-2021-1145
CWE-59,CVE-2021-1278
CWE-59,CVE-2021-1612
CWE-59,CVE-2021-20153
CWE-59,CVE-2021-20197
CWE-200,CVE-2022-21712
CWE-200,CVE-2020-9849
CWE-200,CVE-2020-9525
CWE-200,CVE-2020-9387
CWE-200,CVE-2020-9386
CWE-200,CVE-2020-9337
CWE-200,CVE-2020-9282
CWE-200,CVE-2020-9043
CWE-200,CVE-2020-8832
CWE-200,CVE-2020-8232
CWE-200,CVE-2020-8169
CWE-200,CVE-2020-7944
CWE-200,CVE-2020-7932
CWE-200,CVE-2020-7801
CWE-200,CVE-2020-7696
CWE-200,CVE-2020-7568
CWE-200,CVE-2020-7510
CWE-200,CVE-2020-7506
CWE-200,CVE-2020-7284
CWE-200,CVE-2020-7270
CWE-200,CVE-2020-7269
CWE-200,CVE-2020-7262
CWE-200,CVE-2020-7196
CWE-200,CVE-2020-7130
CWE-200,CVE-2020-7030
CWE-200,CVE-2020-6993
CWE-200,CVE-2020-6954
CWE-200,CVE-2020-6865
CWE-200,CVE-2020-6830
CWE-200,CVE-2020-6812
CWE-200,CVE-2020-6653
CWE-200,CVE-2020-6570
CWE-200,CVE-2020-6514
CWE-200,CVE-2020-6489
CWE-200,CVE-2020-6190
CWE-200,CVE-2020-6178
CWE-200,CVE-2020-6170
CWE-200,CVE-2020-5975
CWE-200,CVE-2020-5890
CWE-200,CVE-2020-5866
CWE-200,CVE-2020-5676
CWE-200,CVE-2020-5573
CWE-200,CVE-2020-5572
CWE-200,CVE-2020-5571
CWE-200,CVE-2020-5364
CWE-200,CVE-2020-5331
CWE-200,CVE-2020-5330
CWE-200,CVE-2020-5244
CWE-200,CVE-2020-5220
CWE-200,CVE-2020-5197
CWE-200,CVE-2020-4967
CWE-200,CVE-2020-4957
CWE-200,CVE-2020-4953
CWE-200,CVE-2020-4951
CWE-200,CVE-2020-4913
CWE-200,CVE-2020-4908
CWE-200,CVE-2020-4815
CWE-200,CVE-2020-4649
CWE-200,CVE-2020-4640
CWE-200,CVE-2020-4565
CWE-200,CVE-2020-4361
CWE-200,CVE-2020-4338
CWE-200,CVE-2020-4336
CWE-200,CVE-2020-4309
CWE-200,CVE-2020-4226
CWE-200,CVE-2020-4186
CWE-200,CVE-2020-4172
CWE-200,CVE-2020-4159
CWE-200,CVE-2020-4079
CWE-200,CVE-2020-4045
CWE-200,CVE-2020-3800
CWE-200,CVE-2020-3687
CWE-200,CVE-2020-3644
CWE-200,CVE-2020-3643
CWE-200,CVE-2020-35934
CWE-200,CVE-2020-35710
CWE-200,CVE-2020-35681
CWE-200,CVE-2020-35611
CWE-200,CVE-2020-35568
CWE-200,CVE-2020-35497
CWE-200,CVE-2020-3537
CWE-200,CVE-2020-3520
CWE-200,CVE-2020-3347
CWE-200,CVE-2020-3242
CWE-200,CVE-2020-3193
CWE-200,CVE-2020-3182
CWE-200,CVE-2020-29075
CWE-200,CVE-2020-29043
CWE-200,CVE-2020-28482
CWE-200,CVE-2020-28333
CWE-200,CVE-2020-28199
CWE-200,CVE-2020-27612
CWE-200,CVE-2020-27414
CWE-200,CVE-2020-27403
CWE-200,CVE-2020-2732
CWE-200,CVE-2020-27290
CWE-200,CVE-2020-27134
CWE-200,CVE-2020-26417
CWE-200,CVE-2020-26415
CWE-200,CVE-2020-26413
CWE-200,CVE-2020-26230
CWE-200,CVE-2020-26220
CWE-200,CVE-2020-26076
CWE-200,CVE-2020-25746
CWE-200,CVE-2020-25703
CWE-200,CVE-2020-25651
CWE-200,CVE-2020-25192
CWE-200,CVE-2020-25179
CWE-200,CVE-2020-24381
CWE-200,CVE-2020-2307
CWE-200,CVE-2020-2103
CWE-200,CVE-2020-19363
CWE-200,CVE-2020-1779
CWE-200,CVE-2020-1777
CWE-200,CVE-2020-1775
CWE-200,CVE-2020-1770
CWE-200,CVE-2020-1753
CWE-200,CVE-2020-17527
CWE-200,CVE-2020-1746
CWE-200,CVE-2020-1739
CWE-200,CVE-2020-15933
CWE-200,CVE-2020-15931
CWE-200,CVE-2020-15790
CWE-200,CVE-2020-15671
CWE-200,CVE-2020-15647
CWE-200,CVE-2020-15502
CWE-200,CVE-2020-15235
CWE-200,CVE-2020-1510
CWE-200,CVE-2020-15081
CWE-200,CVE-2020-14371
CWE-200,CVE-2020-14329
CWE-200,CVE-2020-14192
CWE-200,CVE-2020-14183
CWE-200,CVE-2020-14181
CWE-200,CVE-2020-14112
CWE-200,CVE-2020-13764
CWE-200,CVE-2020-13702
CWE-200,CVE-2020-13597
CWE-200,CVE-2020-13268
CWE-200,CVE-2020-13264
CWE-200,CVE-2020-13261
CWE-200,CVE-2020-13129
CWE-200,CVE-2020-12987
CWE-200,CVE-2020-12966
CWE-200,CVE-2020-12777
CWE-200,CVE-2020-12772
CWE-200,CVE-2020-12518
CWE-200,CVE-2020-12496
CWE-200,CVE-2020-12070
CWE-200,CVE-2020-11922
CWE-200,CVE-2020-11687
CWE-200,CVE-2020-11281
CWE-200,CVE-2020-11221
CWE-200,CVE-2020-11199
